A Beyeck, Abbo (1946-....)
A., Clarisse (1950-....)
Aaron, Frédérique
Aaron, Soazig
Ababou, Noureddine
Abad, Charlie  Illustrateur
Abad, Mariano  Préfacier
Abad, Reynald
Abadia, Guy  Traducteur
Abadie, Daniel
Abadie, Louis (1927-....)  Editeur scientifique
Abadie, Marie
Abadie, Patrick (1968-....)  Directeur
Abaïev, Aboubakar (1956-....)  Traducteur
Abassi, Ali
Abauzit, Frank (1870-1938)  Traducteur
Abbadie, Christian
Abbadie, Hervé  Illustrateur
Abbadie, Joëlle d'  Illustrateur
Abbadie-Douce, Paulette (1922-....)
Abbal, Odon (1954-....)
Abbatucci, Severin
Abbé Pierre (1912-....)
Abbey, Michael (19..-.... ; informaticien)
Abbon (0850?-0923?)
Abbott, Simon (19..-.... ; illustrateur)  Illustrateur
Abbou, Malek
Abbou, Martine  Rédacteur
Abbou, Mohammed  Directeur
Abd Al Basit ibn ̮Halil
Abdallah Paune, Kamaroudine (1953-....)
Abdel Haq, Samir  Traducteur
Abdel Sayed, Edris (1955-....)  Directeur
Abdel-Méguid, Ibrahim (1946-....)
Abdelouahab, Farid
Abdi, Abdi Ismaël (1968-....)
Abdi, Hocine (1947-....)
Abdulhamid, Ammar (1966-....)
Abe, Kōbō (1924-1993)
Abe, Yoshi
Abécassis, Eliette (1969-....)
Abecassis, Joël  Editeur scientifique
Abel, Anne-Marie (1930-....)  Rédacteur
Abel, Barbara
Abel, Daniel
Abel, Olivier
Abel, Simone  Illustrateur
Abela, Paul (1921-....)
Abélès, Marc (1950-....)
Abélès, Marc (1950-....)  Préfacier
Abelhauser, Alain (1954-....)
Abello, Jean  Traducteur
Abendroth, Wolfgang (1906-1985)
Abénon, Lucien-René (1937-....)  Directeur
Abénon, Lucien-René (1937-....)  Editeur scientifique
Abensour, Dominique
Abensour, Gérard  Traducteur
Abensur-Hazan, Laurence (1968-....)
Aber, Linda
Abercorn, Thomas
Abergel, Frédéric (1963-....)
Abert, Xavier (1969-....)
Abescat, Bruno
Abgrall, Jean-François (19..-.... ; enquêteur privé)
Abgrall, Jean-Marie (19..-.... ; psychiatre)
Abgrall, Rémi
Abhervé, Michel
Abi Aad, Albert
Abi, Brigitte
Abidi, Ahmed  Editeur scientifique
Abirached, Robert (1930-....)  Editeur scientifique
Abirached, Robert (1930-....)  Postfacier
Abirached, Robert (1930-....)  Préfacier
Abitan, Anne-Marie (1947-....)
Abitbol, Sarah  (1975-....)
Abiteboul, Olivier
Able, Tebi Joachim
Ablow, Keith
Abo, Fodjo Kadjo
Abolgassemi, Parviz (1930-....)
Abolgassemi, Parviz (1930-....)  Traducteur
Abolin, Georges
Abou Ayoub, Younès  Traducteur
Abou Zahab, Mariam  Traducteur
Abou, Olivier (1964?-....)
Aboucaya, Jacques
Abouchar, Bernard
Aboud, Hichem
Abraham, Bertrand  Traducteur
Abraham, Chantal
Abraham, Jean-Pierre (1936-....)
Abraham, Ken (1951-....)  Collaborateur
Abraham, Nicolas (1919-1975)  Préfacier
Abraham-Frois, Gilbert
Abram, Joseph (1951-....)
Abram, Joseph (1951-....)  Directeur
Abram, Yves
Abrams, Erika (1952-....)  Editeur scientifique
Abrams, Erika (1952-....)  Traducteur
Abramson, Ian
Abramson, Pierre-Luc  Editeur scientifique
Abranches, Filipe
Abrassart, Jean-Louis
Abrassart, Jean-Louis  Préfacier
Abrego, Carlos (1943-....)
Abreu, Carmen  Traducteur
Abrezol, Raymond (1931-....)
Abrial, Stéphanie
Abrigeon, Bernard d'
Abron, Claude  Illustrateur
Abrous, Mansour (1956-....)
Abry, Dominique  Directeur
Abry, Patrice  Editeur scientifique
Absentes, Mario (1951-....)
Absire, Alain (1950-....)
Abtey, Jacques (191.?-1998)
Abtroun, Samy  Directeur
Abū Nuwās, al- Ḥasan ibn Hāni' al- Ḥakamī (0762?-0815?)
Accardi, Andrea (1968-....)
Accardi, Carla (1924-....)
Accart, Xavier  Editeur scientifique
Accursi, Daniel
Achache, Carole
Achache, Gilles
Achard, Anne-Marie
Achard, Jean-Denis (1971-....)
Achard, Metin  Traducteur
Achard, Olivier
Achard, Robert
Achcar, Gilbert
Achdé (1961-....)
Achdé (1961-....)  Illustrateur
Acher, Thomas
Achi, Taous (1958-....)  Collaborateur
Achide, Patrick (1951-....)
Achille, Hélène d' (1948-....)
Achilli, Justin
Achot, Achot  Illustrateur
Acker, Agnès (1940-....)
Acker, Clara
Ackerman, Diane
Ackerman, Galia  Traducteur
Ackermann, Annie (1944-....)  Illustrateur
Ackermann, Werner  Rédacteur
Ackermann-Ophuls, Régine  Illustrateur
Ackroyd, Dorothea  Illustrateur
Acosta, Uriel (1585?-1640)
Acquaviva, Jean-Claude
Acquaviva-Pache, Michèle
Acremant, Joël (1948-....)
Actif, Nelly  Rédacteur
Actis-Grosso, Maurice  Traducteur
Acton, Harold (1904-1994)  Préfacier
Acton, Johnny
Adair, Cherry
Adair, Ian
Adalbert, Harry
Adam, Antoine (1899-19..)  Editeur scientifique
Adam, Catherine (1967-....)  Illustrateur
Adam, Charles (19..-.... ; traducteur)  Traducteur
Adam, Christine (1952-....)  Illustrateur
Adam, Claude (19..-.... ; médecin)
Adam, Éric (1966-....)
Adam, Évelyne (1955?-....)
Adam, Gérard (1937-....)
Adam, Jacqueline (1934-....)
Adam, Michaël (1939-....)
Adam, Olivier (1974-....)
Adam, Peggy (1974-....)  Illustrateur
Adam, Philippe (1970-....)
Adam, Tom
Adami, Giuseppe (1878-1946)
Adamo, Salvatore (1943-....)
Adamov, Arthur (1908-1970)
Adamov, Philippe (1956-....)
Adams, Douglas (1952-....)
Adams, Mike (1954-....)
Adams, Scott (1957-....)
Adams, Simon (1955-....)
Adamson, John ( 1949-....)
Adamson, John ( 1949-....)  Traducteur
Adda, Anne-Marie (1955-....)  Illustrateur
Adda, Didier  Rédacteur
Adda, Jacques (1959-....)
Adde, Jean-Michel
Addi, Lahouari (1949-....)
Addi, Lahouari (1949-....)  Préfacier
Addison, Jayne
Adélaïde-Merlande, Jacques
Adélaïde-Merlande, Jacques  Editeur scientifique
Adelen, Claude (1944-....)
Adeline, Michèle
Adeline, Yves-Marie (1960-....)
Adelkhah, Fariba
Adelstain, Françoise  Traducteur
Adely, Emmanuel (1962-....)
Aden, Mohamed (1936-....)
Ades, Dawn (1943-....)
Adès, Jean
Adès, Julien
Adey, Robert  Editeur scientifique
Adiaffi, Jean-Marie (1941-....)
Adib, Hoda (1943-....)
Adinolfi, Gaetano
Adjahi Gnimagnon, Christine  Editeur scientifique
Adjibi, Jean-Baptiste (1963-....)  Traducteur
Adler, Alexandre (1950-....)
Adler, Alexandre (1950-....)  Préfacier
Adler, Alfred (1870-1937)
Adler, Dennis
Adler, Elizabeth
Adler, Guillaume (1971-....)
Adler, Laure (1950-....)
Adli, Younes
Adnan, Etel  Traducteur
Adnès, Françoise  Rédacteur
Adnet, Frédéric
Adonis (1930-....)
Adonis (1936-....)
Adorne, Jean (1444-1511)
Adorno, Theodor Wiesengrund (1903-1969)
Adoue, Évelyne  Directeur
Adoue, Francis  Collaborateur
Adouki, Delphine (1961-....)
Adoul, André
Adrait, Robert
Adriaco, Olivia (1966?-....)
Adriaens-Pannier, Anne  Collaborateur
Adriaenssens, Nicolas (1980-....)
Adrian (1919-....)
Adrian, Frédéric (1968)  Illustrateur
Adrian, Luc (1957-....)
Adrien, Jean (19..-.... ; auteur sur les métiers de l'hôtellerie)
Adrien, Yves (1953?-....)
Adu Manyah, Kofi
Adventus, Jean Michel (1963-....)
Aeck, Urban  Adaptateur
Aellen, Fabienne  Collaborateur
Aeppli, Ernest
Aerts, Georges (1935-....)
Aertssen, Kristien
Afanasiev, Aleksandr Nikolaevitch (1826-1871)  Editeur scientifique
Afanasiev, Iouri Nikolaevitch (1934-....)
Affaki, Georges  Rédacteur
Aga (1921-....)
Agacinski, Sylviane
Agamben, Giorgio (1942-....)
Aganian, Marie-José  Collaborateur
Agarwal, Radhey Shyam (1943-....)  Editeur scientifique
Agat-Zéphir, Sophie  Illustrateur
Agati, Pierre
Agay, Frédéric d'  Préfacier
Agbangla, Claude  Directeur
Agel, Henri (1911-....)
Agel, Léon (1910-....)
Aggoula, Basile
Aghina, Paola
Agier, Michel
Aglan, Alya  Directeur
Aglietta, Michel
Aglietta, Michel  Préfacier
Aglietta, Michel  Rédacteur
Agnelli, Claude
Agnès de Jésus (carmélite de Lisieux ; 1861-1951)  Collaborateur
Agnès, Yves (1940-....)
Agnès-Marie
Agnetti, Eugène (1923-....)
Agniau, Marie-Noëlle (1973-....)
Agniel, Dominique
Agniel, Dominique  Editeur scientifique
Agopian, Annie (1956-....)
